GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,com.fiapx.auth,AuthApplication,5,3,0,0,2,1,1,1,1,1
auth-service,com.fiapx.auth.infrastructure.adapter.persistence.entity,UserEntity.UserEntityBuilder,11,35,0,0,0,1,1,6,1,6
auth-service,com.fiapx.auth.infrastructure.adapter.persistence.entity,UserEntity,28,187,20,18,0,8,16,18,0,15
auth-service,com.fiapx.auth.infrastructure.adapter.persistence,UserPersistenceAdapter,0,72,0,0,0,19,0,7,0,7
auth-service,com.fiapx.auth.infrastructure.adapter.web,AuthController,0,19,0,0,0,3,0,3,0,3
auth-service,com.fiapx.auth.infrastructure.config,GlobalExceptionHandler,0,11,0,0,0,2,0,2,0,2
auth-service,com.fiapx.auth.infrastructure.config,SecurityConfig,41,0,0,0,9,0,6,0,6,0
auth-service,com.fiapx.auth.infrastructure.adapter.security,BCryptPasswordEncoderAdapter,0,17,0,0,0,3,0,3,0,3
auth-service,com.fiapx.auth.infrastructure.adapter.security,JwtTokenAdapter,0,48,0,0,0,16,0,3,0,3
auth-service,com.fiapx.auth.application.usecase,RegisterUserUseCase,0,51,0,4,0,11,0,4,0,2
auth-service,com.fiapx.auth.application.usecase,LoginUserUseCase,0,52,0,2,0,10,0,4,0,3
auth-service,com.fiapx.auth.domain.entity,User.UserBuilder,11,35,0,0,0,1,1,6,1,6
auth-service,com.fiapx.auth.domain.entity,User,32,183,22,16,0,8,18,16,0,15
auth-service,com.fiapx.auth.application.dto,LoginRequest,18,110,12,10,0,6,10,12,0,11
auth-service,com.fiapx.auth.application.dto,LoginRequest.LoginRequestBuilder,6,21,0,0,0,1,1,4,1,4
auth-service,com.fiapx.auth.application.dto,LoginResponse.LoginResponseBuilder,6,21,0,0,0,1,1,4,1,4
auth-service,com.fiapx.auth.application.dto,UserRegistrationRequest,25,130,17,13,0,4,14,12,0,11
auth-service,com.fiapx.auth.application.dto,LoginResponse,18,110,12,10,0,6,10,12,0,11
